                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3862,                 2.6522,                0.89951,                0.80034,                 0.5973,                0.67867,                 0.4008,                 1.2421,                 1.2562,                0.85776,              0.0033131,              0.0033131,              0.0033131
                      2,                 1.2992,                 1.1257,                0.87322,                0.81552,                0.63382,                0.69042,                0.37756,                 1.3592,                0.94957,                0.87693,              0.0066136,              0.0066136,              0.0066136
                      3,                 1.3428,                0.92635,                0.88282,                0.81815,                0.60268,                0.67685,                0.40182,                 1.2324,                0.98709,                0.87393,               0.009881,               0.009881,               0.009881
                      4,                 1.3299,                0.87757,                0.88666,                0.83545,                 0.6564,                0.71899,                0.41206,                 1.2517,                0.89543,                0.87941,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2368,                0.78596,                0.87079,                0.88466,                0.64714,                0.75144,                0.47664,                 1.1484,                0.77245,                0.86072,               0.009802,               0.009802,               0.009802
                      6,                 1.1929,                0.74208,                0.86153,                0.86295,                0.70316,                 0.7856,                0.50639,                 1.0608,                0.69721,                0.84725,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1497,                0.70541,                0.85882,                0.86582,                0.71608,                0.79218,                0.51163,                 1.0679,                0.68422,                0.84181,               0.009703,               0.009703,               0.009703
                      8,                 1.1219,                0.68751,                0.85446,                0.85322,                0.74727,                0.81649,                0.52387,                 1.0004,                0.70174,                0.83778,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0951,                0.66398,                0.84737,                0.87686,                0.75505,                0.82588,                0.52825,                 1.0239,                0.61427,                 0.8377,               0.009604,               0.009604,               0.009604
                     10,                 1.0832,                0.65322,                0.84778,                0.87818,                0.75097,                 0.8283,                0.54829,                0.97946,                0.59236,                0.83389,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0741,                0.64381,                0.84528,                0.88153,                0.76933,                0.84335,                0.55496,                0.94918,                0.59151,                0.82955,               0.009505,               0.009505,               0.009505
                     12,                 1.0638,                0.63137,                0.84317,                0.88022,                 0.7721,                0.84518,                0.56068,                0.96167,                0.59487,                0.83287,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0471,                0.62282,                0.84022,                0.86989,                 0.7837,                0.84752,                0.57392,                 0.9249,                0.56457,                0.82845,               0.009406,               0.009406,               0.009406
                     14,                 1.0438,                0.61791,                0.84136,                0.88667,                0.77391,                0.85341,                0.58174,                 0.9098,                0.54991,                0.82613,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0416,                0.61317,                0.84308,                0.87972,                0.79367,                0.86583,                0.58461,                0.92747,                0.54655,                0.82765,               0.009307,               0.009307,               0.009307
