                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8724,                 9.2089,                 1.8665,                 0.9578,                 0.0846,                0.44079,                0.26929,                 2.9247,                 6.3228,                 1.7797,              0.0033051,              0.0033051,              0.0033051
                      2,                 2.7124,                 3.3204,                 1.8094,                0.63951,                0.49554,                0.53029,                0.30199,                 3.2936,                 3.0039,                 1.8786,              0.0066165,              0.0066165,              0.0066165
                      3,                 2.8405,                 2.3357,                 1.8341,                0.62363,                0.44207,                 0.4562,                0.23778,                 3.5881,                 5.5845,                 2.0231,              0.0099059,              0.0099059,              0.0099059
                      4,                 2.8083,                  2.022,                 1.8478,                0.67943,                0.48118,                0.51223,                0.29546,                 3.2468,                 4.0564,                 1.9207,               0.009901,               0.009901,               0.009901
                      5,                 2.6492,                  1.762,                 1.8202,                0.70731,                0.44515,                0.52153,                0.32734,                 3.0199,                 2.8493,                 1.8414,               0.009868,               0.009868,               0.009868
                      6,                 2.5773,                 1.6414,                 1.8003,                 0.7344,                0.50932,                0.56351,                0.33106,                 3.0764,                 2.8797,                  1.851,               0.009835,               0.009835,               0.009835
                      7,                 2.4985,                 1.5432,                  1.785,                0.77607,                0.52454,                 0.6022,                0.34967,                 3.1631,                  2.994,                 1.8742,               0.009802,               0.009802,               0.009802
                      8,                 2.4541,                 1.5018,                 1.7763,                 0.7553,                0.52082,                0.58053,                0.35703,                 2.9627,                 2.4477,                 1.8309,               0.009769,               0.009769,               0.009769
                      9,                 2.3988,                  1.422,                 1.7611,                0.79658,                0.55194,                0.63165,                 0.3764,                 3.0506,                 2.3149,                 1.8695,               0.009736,               0.009736,               0.009736
                     10,                 2.3815,                  1.397,                 1.7501,                0.78908,                0.59899,                0.66752,                0.41281,                 2.8316,                 1.9153,                 1.8055,               0.009703,               0.009703,               0.009703
                     11,                 2.3256,                 1.3537,                 1.7477,                0.78825,                 0.5871,                0.66196,                0.41124,                 2.8134,                 2.0006,                 1.8071,                0.00967,                0.00967,                0.00967
                     12,                 2.2966,                 1.3263,                 1.7401,                0.80605,                0.58661,                0.67813,                0.43294,                 2.7696,                 2.0787,                 1.7959,               0.009637,               0.009637,               0.009637
                     13,                 2.2491,                 1.2927,                 1.7279,                0.77628,                0.60784,                0.67024,                0.42947,                 2.6916,                 1.9018,                 1.7772,               0.009604,               0.009604,               0.009604
                     14,                 2.2273,                 1.2592,                 1.7254,                 0.7951,                0.61287,                0.67924,                0.42984,                 2.7196,                 1.8289,                  1.783,               0.009571,               0.009571,               0.009571
                     15,                 2.2119,                 1.2456,                 1.7175,                0.81563,                 0.6416,                 0.7122,                0.45422,                 2.6745,                 1.7286,                 1.7792,               0.009538,               0.009538,               0.009538
                     16,                 2.2011,                 1.2152,                 1.7158,                0.79776,                0.63281,                0.69311,                0.44007,                 2.6775,                 1.7769,                 1.7968,               0.009505,               0.009505,               0.009505
                     17,                 2.1533,                 1.1974,                 1.7123,                 0.7914,                0.63863,                0.71038,                0.45911,                 2.6163,                 1.7261,                   1.78,               0.009472,               0.009472,               0.009472
                     18,                 2.1556,                 1.2048,                  1.716,                0.79884,                 0.6328,                0.70039,                0.44245,                 2.7171,                 1.9847,                 1.7862,               0.009439,               0.009439,               0.009439
                     19,                 2.1361,                 1.1707,                 1.7092,                0.82004,                0.61595,                0.69715,                0.43887,                 2.7036,                 1.8827,                  1.782,               0.009406,               0.009406,               0.009406
                     20,                 2.1076,                 1.1366,                 1.7004,                 0.8289,                0.61092,                0.69742,                0.44207,                 2.6957,                 1.8899,                 1.7929,               0.009373,               0.009373,               0.009373
                     21,                  2.092,                 1.1412,                 1.6953,                0.82815,                0.63332,                0.72138,                0.46121,                  2.638,                 1.7457,                 1.7711,                0.00934,                0.00934,                0.00934
                     22,                  2.065,                 1.1217,                 1.6925,                0.81405,                0.64697,                0.72187,                0.47392,                 2.5118,                 1.7396,                 1.7546,               0.009307,               0.009307,               0.009307
                     23,                 2.0572,                 1.1134,                 1.6952,                0.82995,                0.64074,                 0.7299,                 0.4747,                 2.5799,                 1.6264,                 1.7754,               0.009274,               0.009274,               0.009274
