                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3741,                 3.2381,                0.92788,                0.76554,                0.56348,                0.62614,                0.33798,                 1.3734,                 1.6022,                0.88352,              0.0033051,              0.0033051,              0.0033051
                      2,                 1.3189,                 1.3533,                0.88192,                0.80733,                0.58516,                 0.6497,                0.37736,                 1.3354,                0.94373,                0.90211,              0.0066165,              0.0066165,              0.0066165
                      3,                 1.3456,                 1.0496,                0.89283,                0.77725,                  0.497,                 0.5677,                0.34071,                 1.3592,                 1.3184,                0.93348,              0.0099059,              0.0099059,              0.0099059
                      4,                 1.3524,                0.98202,                0.90217,                0.78217,                0.59374,                0.65233,                0.38071,                 1.2912,                 1.7169,                0.92092,               0.009901,               0.009901,               0.009901
                      5,                 1.2752,                0.88867,                0.88388,                0.83039,                0.60296,                0.66731,                0.40889,                 1.2507,                0.93002,                0.91149,               0.009901,               0.009901,               0.009901
                      6,                 1.2459,                0.84298,                0.88066,                0.81344,                0.61044,                 0.6745,                0.40542,                  1.221,                0.89129,                0.89781,               0.009868,               0.009868,               0.009868
                      7,                 1.2258,                0.80842,                0.87664,                0.78777,                0.62736,                0.69123,                0.43227,                  1.171,                 1.0826,                0.88384,               0.009835,               0.009835,               0.009835
                      8,                 1.1812,                0.78571,                0.87481,                 0.8067,                0.65338,                0.70756,                0.46111,                 1.1027,                0.81711,                0.87033,               0.009802,               0.009802,               0.009802
                      9,                 1.1627,                0.75593,                0.86693,                0.83597,                0.67882,                0.74076,                0.46744,                 1.1352,                0.78451,                0.88194,               0.009769,               0.009769,               0.009769
                     10,                 1.1615,                 0.7486,                0.86495,                0.85676,                0.67542,                0.75377,                0.48216,                 1.1289,                0.73425,                0.88487,               0.009736,               0.009736,               0.009736
                     11,                 1.1286,                0.72957,                0.86105,                0.84722,                0.68109,                 0.7504,                0.47798,                 1.0983,                0.71648,                0.87312,               0.009703,               0.009703,               0.009703
                     12,                 1.1108,                0.71477,                0.86008,                 0.8544,                0.68935,                0.76679,                0.48984,                 1.0963,                0.74776,                0.87587,                0.00967,                0.00967,                0.00967
                     13,                 1.1125,                0.70606,                0.86056,                0.87904,                0.69954,                 0.7803,                0.50388,                 1.0702,                0.68391,                0.87183,               0.009637,               0.009637,               0.009637
                     14,                 1.1141,                0.70252,                0.85769,                 0.8659,                0.69685,                0.77608,                0.49957,                 1.0998,                0.67345,                0.87672,               0.009604,               0.009604,               0.009604
                     15,                 1.1038,                0.69841,                0.85876,                0.85011,                0.71321,                0.78151,                0.50585,                 1.0631,                 0.6639,                0.86873,               0.009571,               0.009571,               0.009571
                     16,                 1.0975,                0.68646,                0.85292,                0.85923,                0.71074,                0.78311,                0.49744,                 1.0881,                0.68556,                0.86784,               0.009538,               0.009538,               0.009538
                     17,                 1.0875,                 0.6686,                0.85557,                0.86416,                0.70297,                0.78478,                0.51626,                 1.0672,                0.66369,                0.87161,               0.009505,               0.009505,               0.009505
                     18,                  1.083,                0.67437,                  0.856,                0.87407,                0.68903,                0.77857,                0.51241,                 1.0556,                0.71538,                0.87023,               0.009472,               0.009472,               0.009472
                     19,                 1.0789,                0.66967,                 0.8513,                0.87056,                 0.7169,                0.79534,                0.52185,                 1.0263,                0.64294,                0.86072,               0.009439,               0.009439,               0.009439
                     20,                 1.0602,                0.65204,                 0.8495,                0.86555,                0.67947,                0.76963,                0.50971,                  1.048,                0.70994,                0.86545,               0.009406,               0.009406,               0.009406
                     21,                 1.0608,                0.64932,                0.85157,                0.86898,                0.71899,                0.79712,                0.51304,                 1.0369,                0.66457,                0.86542,               0.009373,               0.009373,               0.009373
                     22,                 1.0625,                0.65863,                0.84953,                0.86078,                0.72738,                0.79545,                0.52573,                 1.0206,                0.63052,                0.86052,                0.00934,                0.00934,                0.00934
                     23,                 1.0494,                0.63969,                0.84835,                0.86109,                0.72808,                0.79909,                 0.5277,                 1.0061,                 0.6345,                0.85908,               0.009307,               0.009307,               0.009307
                     24,                 1.0487,                0.64599,                0.84734,                0.87589,                0.73308,                0.80067,                0.52113,                 1.0235,                0.62074,                0.86157,               0.009274,               0.009274,               0.009274
                     25,                 1.0408,                0.63582,                0.84482,                0.86675,                0.72906,                0.79805,                0.52685,                 1.0268,                0.61712,                 0.8613,               0.009241,               0.009241,               0.009241
                     26,                 1.0418,                0.64009,                0.84975,                0.85629,                0.74446,                0.80752,                0.53356,                 1.0238,                0.61113,                0.86496,               0.009208,               0.009208,               0.009208
                     27,                 1.0307,                0.62318,                0.84594,                0.87614,                0.71873,                0.80267,                0.52459,                 1.0231,                0.64672,                0.86094,               0.009175,               0.009175,               0.009175
                     28,                 1.0313,                0.62689,                0.84604,                0.87186,                0.72769,                0.80594,                0.52769,                 1.0373,                0.62747,                0.86767,               0.009142,               0.009142,               0.009142
                     29,                 1.0333,                0.62654,                0.84614,                0.87494,                0.73862,                 0.8141,                0.53734,                 1.0083,                0.60058,                0.86693,               0.009109,               0.009109,               0.009109
                     30,                 1.0246,                0.62133,                0.84391,                0.87463,                0.73473,                0.81063,                0.53449,                 1.0211,                0.61775,                0.86486,               0.009076,               0.009076,               0.009076
                     31,                 1.0249,                 0.6214,                0.84486,                0.88401,                0.73473,                0.81459,                0.53943,                 1.0044,                0.60936,                0.86027,               0.009043,               0.009043,               0.009043
                     32,                  1.024,                0.61318,                0.84482,                0.87988,                0.72873,                0.80969,                0.54215,                0.99314,                0.61365,                0.85783,                0.00901,                0.00901,                0.00901
                     33,                 1.0318,                0.62136,                0.84552,                0.86988,                0.74737,                0.81857,                0.54226,                0.97263,                0.59053,                0.85214,               0.008977,               0.008977,               0.008977
                     34,                 1.0106,                0.61015,                0.84106,                0.87514,                0.75188,                0.81661,                0.53446,                 1.0085,                0.59259,                0.86165,               0.008944,               0.008944,               0.008944
                     35,                 1.0194,                0.60875,                0.84076,                0.88232,                0.75563,                0.82606,                0.55254,                0.97443,                 0.5747,                0.85506,               0.008911,               0.008911,               0.008911
                     36,                 1.0093,                0.60197,                0.84455,                0.86241,                0.74251,                0.81137,                0.54196,                0.97796,                0.59543,                0.85584,               0.008878,               0.008878,               0.008878
                     37,                 1.0107,                0.60988,                0.84387,                0.88106,                0.75288,                0.82458,                0.55304,                0.97631,                0.58441,                0.85564,               0.008845,               0.008845,               0.008845
                     38,                 1.0085,                0.60994,                0.84136,                0.87193,                0.75685,                0.82379,                0.54923,                0.99013,                0.57085,                0.85763,               0.008812,               0.008812,               0.008812
                     39,                 1.0086,                0.60602,                0.84105,                0.87842,                0.75677,                0.82674,                0.55198,                0.97477,                0.56892,                0.85442,               0.008779,               0.008779,               0.008779
                     40,                 1.0084,                0.59888,                 0.8438,                0.88445,                0.75665,                0.82796,                 0.5589,                0.96791,                0.56103,                0.85424,               0.008746,               0.008746,               0.008746
                     41,                 0.9978,                0.58889,                0.84036,                0.87179,                 0.7603,                0.82838,                0.55239,                0.96812,                 0.5597,                0.85463,               0.008713,               0.008713,               0.008713
                     42,                0.99698,                0.59586,                0.84178,                0.87992,                 0.7576,                0.82732,                0.54725,                0.98001,                0.56213,                0.85696,                0.00868,                0.00868,                0.00868
                     43,                0.99409,                0.58858,                0.83672,                0.87331,                0.75066,                0.82081,                0.54694,                 0.9754,                0.59528,                0.85448,               0.008647,               0.008647,               0.008647
                     44,                0.98962,                0.58731,                0.84099,                0.89313,                0.76112,                0.83492,                0.55958,                0.98054,                0.55289,                0.85754,               0.008614,               0.008614,               0.008614
                     45,                0.99037,                0.58937,                0.83771,                0.88832,                0.75855,                0.83593,                0.56093,                0.96425,                0.55592,                0.85115,               0.008581,               0.008581,               0.008581
                     46,                0.99934,                0.58903,                0.84168,                0.87841,                 0.7566,                0.83058,                0.55704,                0.96452,                0.55771,                0.85289,               0.008548,               0.008548,               0.008548
                     47,                0.98642,                0.58108,                0.83956,                 0.8787,                0.75717,                0.83407,                 0.5588,                0.97448,                 0.5618,                  0.857,               0.008515,               0.008515,               0.008515
