                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0322,                 4.0426,                 1.9086,                0.22215,                0.11423,                0.08042,                0.03425,                 4.0868,                 5.5978,                 2.3545,                0.07024,              0.0033067,              0.0033067
                      2,                 2.9614,                 2.3197,                 1.9131,                0.48479,                0.32365,                0.31906,                0.17401,                 3.6578,                 11.162,                 2.1731,               0.040218,              0.0066181,              0.0066181
                      3,                 2.9027,                 2.1866,                 1.9095,                 0.5802,                0.41788,                0.42073,                0.22738,                 3.4243,                 10.205,                 2.0526,               0.010174,              0.0099075,              0.0099075
                      4,                 2.7591,                  1.947,                 1.8695,                0.58603,                 0.4211,                0.41595,                0.21964,                 3.3757,                 7.4142,                 2.0569,               0.009901,               0.009901,               0.009901
                      5,                 2.6349,                 1.7905,                 1.8415,                0.66745,                0.44754,                0.47221,                0.27321,                  3.298,                 9.8779,                 2.0167,               0.009868,               0.009868,               0.009868
                      6,                 2.5602,                 1.6751,                 1.8214,                0.67351,                0.52178,                 0.5563,                0.33232,                 3.0327,                 3.3736,                 1.9335,               0.009835,               0.009835,               0.009835
                      7,                 2.4565,                 1.5671,                  1.803,                0.75382,                0.58664,                0.64035,                0.38777,                 2.9326,                 2.2961,                 1.9069,               0.009802,               0.009802,               0.009802
                      8,                 2.4416,                 1.5472,                  1.793,                0.80016,                0.56889,                0.62334,                0.37915,                 2.9444,                 2.2296,                 1.8911,               0.009769,               0.009769,               0.009769
                      9,                   2.41,                 1.4925,                 1.7842,                0.76135,                0.57134,                 0.6439,                0.38268,                 2.8783,                 2.2973,                  1.895,               0.009736,               0.009736,               0.009736
                     10,                 2.3784,                 1.4683,                 1.7719,                0.76033,                0.58148,                0.64114,                0.37769,                  3.003,                 2.7144,                 1.8954,               0.009703,               0.009703,               0.009703
                     11,                 2.3569,                 1.4373,                 1.7703,                 0.8164,                0.55502,                0.64621,                0.38656,                 2.9697,                  2.168,                 1.9187,                0.00967,                0.00967,                0.00967
                     12,                 2.3141,                 1.3651,                 1.7587,                 0.8056,                0.58051,                0.63629,                0.39826,                 2.8348,                  2.375,                 1.8787,               0.009637,               0.009637,               0.009637
                     13,                 2.2827,                  1.339,                 1.7547,                0.77982,                0.62278,                0.68271,                0.42941,                 2.7327,                  1.891,                 1.8586,               0.009604,               0.009604,               0.009604
                     14,                 2.2769,                 1.3415,                 1.7497,                0.77245,                0.60794,                0.67257,                0.40936,                 2.8139,                 1.9847,                 1.8735,               0.009571,               0.009571,               0.009571
                     15,                 2.2326,                 1.2948,                 1.7424,                0.80864,                0.62117,                0.69539,                0.43344,                 2.7781,                 1.8532,                 1.8702,               0.009538,               0.009538,               0.009538
                     16,                 2.2276,                 1.2771,                  1.749,                 0.7904,                0.59729,                0.66546,                0.40855,                  2.886,                 2.0514,                  1.906,               0.009505,               0.009505,               0.009505
                     17,                 2.2022,                 1.2574,                 1.7349,                0.78269,                0.59245,                0.66764,                0.41851,                 2.8079,                 2.7506,                 1.8627,               0.009472,               0.009472,               0.009472
                     18,                 2.1614,                 1.2412,                 1.7255,                0.80226,                0.65589,                0.71193,                0.44069,                 2.7943,                  1.814,                 1.8678,               0.009439,               0.009439,               0.009439
                     19,                 2.1607,                 1.2246,                 1.7285,                0.79186,                0.60697,                0.68391,                0.42864,                 2.8565,                 1.9597,                 1.8714,               0.009406,               0.009406,               0.009406
                     20,                 2.1474,                 1.2213,                 1.7258,                0.82688,                0.61084,                0.70015,                0.43999,                 2.7592,                 1.8296,                 1.8527,               0.009373,               0.009373,               0.009373
                     21,                 2.1077,                 1.1796,                 1.7189,                0.82225,                0.61375,                0.68717,                0.42919,                   2.76,                 1.9815,                  1.857,                0.00934,                0.00934,                0.00934
                     22,                 2.1227,                 1.1902,                 1.7254,                0.84007,                0.63085,                0.71433,                0.44726,                 2.7301,                 1.7978,                 1.8534,               0.009307,               0.009307,               0.009307
                     23,                 2.1344,                 1.1923,                  1.721,                0.81693,                0.62063,                 0.7001,                0.42715,                 2.8092,                 1.8246,                 1.8863,               0.009274,               0.009274,               0.009274
                     24,                 2.0907,                 1.1543,                 1.7136,                0.83813,                0.62181,                0.71079,                0.45851,                 2.6532,                 1.8661,                 1.8321,               0.009241,               0.009241,               0.009241
