                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.359,                 2.3002,                0.88913,                0.81796,                  0.643,                0.71959,                0.44055,                 1.1409,                 1.0648,                0.85037,              0.0033257,              0.0033257,              0.0033257
                      2,                 1.2915,                 1.0267,                0.87318,                0.82535,                0.64203,                0.71185,                0.42706,                  1.218,                0.91676,                 0.8611,              0.0065931,              0.0065931,              0.0065931
                      3,                 1.3439,                0.92427,                0.87971,                0.86834,                0.66673,                0.75107,                0.45593,                 1.1869,                0.76731,                0.86352,              0.0097945,              0.0097945,              0.0097945
                      4,                 1.2884,                0.83686,                0.87511,                0.83591,                0.68737,                0.75318,                0.45244,                 1.1395,                0.80856,                0.85664,               0.009703,               0.009703,               0.009703
                      5,                 1.2329,                0.78385,                0.86894,                0.85604,                0.69452,                0.76521,                0.47373,                 1.0801,                0.75511,                0.84607,               0.009703,               0.009703,               0.009703
                      6,                 1.1967,                0.74475,                 0.8604,                0.87343,                0.74264,                0.81067,                0.52339,                 1.0574,                0.66467,                0.84781,               0.009604,               0.009604,               0.009604
                      7,                 1.1663,                0.71665,                0.85595,                0.87229,                0.73439,                0.81187,                0.51891,                 1.0036,                0.65502,                0.84199,               0.009505,               0.009505,               0.009505
                      8,                 1.1387,                0.69816,                  0.851,                0.86893,                0.76332,                0.82842,                0.54804,                 1.0019,                 0.6143,                0.83506,               0.009406,               0.009406,               0.009406
                      9,                 1.1122,                0.67093,                0.84874,                0.86351,                0.76429,                0.83527,                0.55477,                0.97896,                0.58435,                0.83534,               0.009307,               0.009307,               0.009307
                     10,                 1.0909,                0.65991,                0.84807,                0.87223,                0.77726,                0.84826,                0.56632,                0.95968,                0.57998,                0.83305,               0.009208,               0.009208,               0.009208
                     11,                 1.0716,                0.64068,                0.84292,                0.88352,                0.77421,                0.84829,                0.56044,                0.96928,                0.57705,                0.82969,               0.009109,               0.009109,               0.009109
                     12,                 1.0777,                0.63969,                0.84197,                0.87571,                0.79243,                0.85811,                0.57897,                0.92871,                0.55679,                0.82857,                0.00901,                0.00901,                0.00901
                     13,                 1.0554,                0.63468,                0.84152,                0.88403,                0.78408,                0.85907,                0.56895,                0.92383,                0.55151,                0.82731,               0.008911,               0.008911,               0.008911
