                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.91784,                0.52978,                0.82463,                0.89841,                0.84491,                0.90894,                0.65039,                0.79913,                0.44541,                0.80989,                0.00769,                0.00769,                0.00769
                     38,                 0.9342,                0.53227,                0.82621,                0.90813,                0.83195,                0.90531,                0.64495,                0.80633,                  0.447,                0.80959,               0.007624,               0.007624,               0.007624
                     39,                 0.9208,                0.52642,                0.82436,                0.89952,                0.83971,                0.90708,                 0.6454,                0.81363,                  0.443,                0.81142,               0.007558,               0.007558,               0.007558
                     40,                0.92662,                0.52679,                0.82628,                0.89465,                0.85106,                0.90987,                0.65216,                0.79675,                0.43705,                 0.8095,               0.007492,               0.007492,               0.007492
                     41,                0.93749,                0.53142,                0.82447,                0.89666,                0.84958,                 0.9101,                 0.6536,                0.79613,                 0.4389,                0.80949,               0.007426,               0.007426,               0.007426
                     42,                0.91875,                0.51607,                0.82352,                0.89855,                0.84772,                0.90952,                0.65571,                 0.7933,                0.43733,                0.80931,                0.00736,                0.00736,                0.00736
                     43,                0.92647,                0.52127,                0.82534,                0.89918,                0.84218,                 0.9086,                0.65078,                0.78998,                0.43688,                0.80953,               0.007294,               0.007294,               0.007294
                     44,                0.93181,                0.52528,                0.82528,                0.89885,                0.84871,                0.91033,                0.65497,                0.78817,                0.43525,                0.80807,               0.007228,               0.007228,               0.007228
                     45,                0.90953,                0.51568,                0.82242,                0.89692,                0.84651,                0.90939,                0.65361,                 0.7905,                0.43083,                 0.8084,               0.007162,               0.007162,               0.007162
                     46,                0.91241,                0.51352,                0.81838,                0.89481,                0.85118,                0.91187,                0.65964,                0.78253,                0.42543,                0.80807,               0.007096,               0.007096,               0.007096
                     47,                0.90724,                0.51118,                0.82179,                0.90593,                0.84275,                0.91204,                0.65695,                0.78377,                0.42622,                0.80745,                0.00703,                0.00703,                0.00703
                     48,                0.90961,                0.51426,                0.82075,                0.89815,                0.85493,                0.91589,                0.65864,                0.78317,                0.42307,                0.80788,               0.006964,               0.006964,               0.006964
                     49,                0.91323,                 0.5105,                0.82277,                0.89658,                0.85346,                0.91334,                0.65681,                0.77741,                0.42717,                0.80705,               0.006898,               0.006898,               0.006898
                     50,                0.90776,                0.50942,                0.82122,                0.89678,                0.85595,                0.91508,                0.66377,                0.77197,                0.42224,                0.80667,               0.006832,               0.006832,               0.006832
                     51,                 0.9096,                0.51301,                0.82004,                0.89789,                0.85482,                0.91496,                0.66223,                0.77702,                0.42106,                0.80703,               0.006766,               0.006766,               0.006766
                     52,                0.90582,                0.50973,                0.82043,                0.90197,                0.84951,                0.91542,                0.66568,                0.77311,                0.41703,                0.80646,                 0.0067,                 0.0067,                 0.0067
                     53,                0.90108,                0.50285,                 0.8227,                0.90641,                0.85215,                0.91795,                0.66818,                0.76814,                0.41403,                0.80608,               0.006634,               0.006634,               0.006634
                     54,                0.89749,                0.50492,                0.81956,                0.90339,                0.85533,                0.91726,                0.66751,                0.76922,                0.41416,                0.80631,               0.006568,               0.006568,               0.006568
                     55,                0.89924,                 0.5047,                0.82057,                0.90537,                0.85749,                0.92081,                0.66676,                0.77047,                0.41221,                0.80615,               0.006502,               0.006502,               0.006502
                     56,                0.89278,                0.50188,                 0.8166,                0.90995,                0.84704,                0.91793,                0.66774,                0.76397,                0.41188,                0.80591,               0.006436,               0.006436,               0.006436
                     57,                0.89656,                0.50049,                0.82083,                0.90448,                0.85372,                0.91794,                0.66654,                0.76765,                0.41383,                0.80563,                0.00637,                0.00637,                0.00637
                     58,                0.88911,                0.49809,                0.81941,                 0.9073,                0.85515,                0.91984,                0.66628,                0.75879,                0.40973,                0.80496,               0.006304,               0.006304,               0.006304
                     59,                0.88557,                0.49913,                0.81935,                0.90857,                0.85816,                0.92036,                0.66933,                0.75938,                0.40935,                0.80458,               0.006238,               0.006238,               0.006238
                     60,                0.88625,                0.48983,                0.81939,                0.91233,                0.85586,                0.92141,                0.67129,                0.75736,                0.40533,                0.80478,               0.006172,               0.006172,               0.006172
                     61,                0.88531,                0.48948,                0.81824,                0.91303,                0.85524,                0.92191,                 0.6729,                0.75917,                0.40435,                0.80473,               0.006106,               0.006106,               0.006106
                     62,                0.87965,                0.49226,                0.82096,                0.90278,                0.86203,                0.92202,                0.67319,                0.75663,                0.40329,                0.80471,                0.00604,                0.00604,                0.00604
                     63,                0.88251,                0.49207,                0.81795,                0.90549,                0.86212,                0.92264,                0.67428,                0.75343,                0.40178,                0.80396,               0.005974,               0.005974,               0.005974
                     64,                0.87827,                0.48211,                0.81919,                0.90629,                0.86353,                0.92364,                 0.6753,                0.75195,                0.40028,                0.80386,               0.005908,               0.005908,               0.005908
                     65,                0.88151,                0.48592,                 0.8185,                0.90511,                 0.8615,                0.92253,                0.67401,                0.75332,                0.40195,                0.80367,               0.005842,               0.005842,               0.005842
                     66,                0.87101,                0.48254,                0.81504,                0.91274,                 0.8548,                0.92243,                 0.6744,                0.75206,                0.39879,                 0.8035,               0.005776,               0.005776,               0.005776
                     67,                0.86607,                0.47916,                0.81738,                0.90963,                0.85868,                  0.923,                0.67579,                0.74845,                 0.3987,                0.80296,                0.00571,                0.00571,                0.00571
                     68,                0.86645,                0.47966,                0.81755,                0.90596,                 0.8645,                0.92414,                 0.6773,                0.74695,                0.39767,                0.80297,               0.005644,               0.005644,               0.005644
                     69,                0.86868,                0.48203,                0.81913,                 0.9071,                 0.8631,                0.92493,                0.67747,                0.74742,                 0.3964,                0.80293,               0.005578,               0.005578,               0.005578
                     70,                0.85907,                0.47222,                0.81672,                0.90774,                0.86159,                 0.9252,                0.67798,                0.74659,                0.39616,                0.80294,               0.005512,               0.005512,               0.005512
                     71,                 0.8615,                0.47829,                0.81476,                0.90639,                0.86355,                0.92559,                0.67846,                 0.7459,                0.39576,                0.80265,               0.005446,               0.005446,               0.005446
                     72,                0.86839,                0.47721,                0.81899,                0.90383,                0.86557,                0.92552,                0.67898,                0.74566,                0.39397,                 0.8027,                0.00538,                0.00538,                0.00538
                     73,                0.86941,                0.47758,                0.81704,                0.91062,                0.86168,                0.92583,                0.67929,                0.74382,                0.39389,                 0.8023,               0.005314,               0.005314,               0.005314
                     74,                0.85907,                0.47444,                0.81911,                0.90768,                0.86441,                0.92576,                0.67941,                0.74221,                0.39303,                0.80212,               0.005248,               0.005248,               0.005248
                     75,                0.85303,                0.46804,                0.81604,                0.90998,                0.86186,                 0.9254,                0.67914,                0.74075,                0.39171,                0.80192,               0.005182,               0.005182,               0.005182
                     76,                0.86435,                0.47373,                 0.8175,                0.91662,                 0.8578,                0.92628,                0.68112,                0.73885,                0.39112,                 0.8016,               0.005116,               0.005116,               0.005116
                     77,                0.86293,                0.47448,                0.81636,                0.91475,                0.85815,                0.92644,                0.68274,                0.73693,                0.39052,                0.80143,                0.00505,                0.00505,                0.00505
                     78,                0.85492,                 0.4677,                0.81423,                0.91419,                0.86027,                0.92742,                 0.6826,                0.73557,                 0.3895,                0.80123,               0.004984,               0.004984,               0.004984
                     79,                0.85478,                0.46997,                0.81457,                0.91624,                0.85879,                 0.9272,                0.68218,                 0.7358,                0.38885,                0.80123,               0.004918,               0.004918,               0.004918
                     80,                0.84815,                0.46243,                0.81276,                0.90873,                0.86341,                0.92732,                0.68321,                0.73359,                0.38697,                0.80087,               0.004852,               0.004852,               0.004852
                     81,                0.85413,                0.46734,                0.81445,                0.91011,                 0.8637,                0.92773,                 0.6832,                0.73262,                0.38687,                0.80093,               0.004786,               0.004786,               0.004786
                     82,                 0.8424,                0.45817,                0.81536,                0.90915,                0.86733,                0.92772,                0.68456,                0.73153,                0.38587,                0.80095,                0.00472,                0.00472,                0.00472
                     83,                0.85262,                0.46188,                0.81632,                0.91038,                0.86652,                0.92798,                0.68472,                0.73124,                0.38453,                 0.8009,               0.004654,               0.004654,               0.004654
                     84,                0.84545,                0.45931,                 0.8146,                0.91081,                0.86733,                0.92825,                0.68557,                0.73004,                 0.3837,                0.80074,               0.004588,               0.004588,               0.004588
                     85,                0.84627,                0.46445,                0.81377,                0.91141,                0.86609,                0.92852,                0.68575,                0.72901,                0.38227,                0.80073,               0.004522,               0.004522,               0.004522
                     86,                0.84513,                0.46118,                0.81384,                0.90962,                0.86927,                 0.9287,                0.68606,                0.72765,                0.38171,                0.80052,               0.004456,               0.004456,               0.004456
