                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0608,                0.62622,                 0.8396,                0.86893,                 0.7709,                0.83149,                0.56257,                0.90075,                 0.5096,                0.82662,               0.008317,               0.008317,               0.008317
                     37,                 1.0484,                0.61147,                0.83812,                0.88652,                0.76021,                0.83562,                0.56439,                0.89715,                 0.5134,                0.82725,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0525,                0.61827,                0.83635,                0.88798,                 0.7572,                0.83366,                0.56735,                0.88584,                0.50248,                0.82528,               0.008218,               0.008218,               0.008218
                     39,                 1.0477,                0.62448,                0.84138,                0.88247,                0.76076,                0.83387,                0.56868,                0.88056,                0.50228,                0.82612,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0507,                0.61485,                0.83623,                0.88324,                0.76292,                0.83364,                 0.5657,                0.88506,                0.50305,                0.82585,               0.008119,               0.008119,               0.008119
                     41,                 1.0402,                  0.607,                0.83803,                0.88236,                0.76712,                0.83636,                0.56986,                0.88456,                0.50133,                0.82566,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0498,                 0.6223,                0.83629,                0.89573,                0.76488,                0.84029,                0.57068,                0.87968,                0.49471,                0.82524,                0.00802,                0.00802,                0.00802
                     43,                 1.0454,                 0.6116,                0.83518,                0.87704,                0.78001,                 0.8407,                0.57185,                0.87716,                0.49674,                0.82438,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0554,                 0.6144,                0.83672,                0.88357,                0.77606,                0.84138,                0.57569,                0.87623,                0.49455,                0.82503,               0.007921,               0.007921,               0.007921
                     45,                 1.0358,                0.60702,                0.83296,                0.89149,                0.77614,                0.84381,                0.57618,                0.87656,                 0.4919,                0.82463,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0353,                 0.6011,                0.83692,                0.87695,                  0.782,                0.84315,                 0.5759,                0.87131,                0.48952,                0.82401,               0.007822,               0.007822,               0.007822
                     47,                  1.049,                0.61215,                0.83505,                0.88757,                0.77191,                0.84405,                 0.5758,                0.86779,                 0.4873,                0.82254,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0275,                0.59977,                0.83315,                0.89063,                 0.7751,                 0.8464,                0.57748,                0.86801,                0.48797,                0.82314,               0.007723,               0.007723,               0.007723
                     49,                 1.0257,                0.59398,                0.83502,                0.87477,                0.78767,                0.84577,                 0.5791,                0.86919,                0.48506,                0.82415,              0.0076735,              0.0076735,              0.0076735
                     50,                  1.027,                0.59389,                0.83416,                0.89147,                0.77633,                0.84359,                0.57768,                0.86421,                0.47988,                0.82279,               0.007624,               0.007624,               0.007624
                     51,                 1.0232,                0.59062,                0.83553,                0.88295,                0.78177,                0.84588,                0.57903,                0.86223,                0.47981,                0.82119,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0286,                 0.5941,                0.83529,                0.87938,                0.78791,                0.84818,                0.58172,                0.85945,                0.47823,                0.82134,               0.007525,               0.007525,               0.007525
                     53,                 1.0234,                0.59767,                0.83607,                0.89342,                0.77606,                0.85022,                0.58239,                0.85831,                0.47851,                0.82145,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0253,                0.59212,                0.82881,                0.88853,                0.77799,                0.84835,                0.58198,                0.85803,                 0.4798,                0.82076,               0.007426,               0.007426,               0.007426
                     55,                 1.0141,                0.57868,                0.83456,                0.88448,                0.78436,                0.84994,                 0.5834,                0.85681,                0.47811,                0.82087,              0.0073765,              0.0073765,              0.0073765
