                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0182,                0.60292,                0.84236,                 1.3814,                0.73258,                0.83579,                0.87686,                0.77414,                0.84589,                0.59036,                 0.8649,                 0.5076,                0.82255,                 1.1655,                0.61029,                0.81674,              0.0088615,              0.0088615,              0.0088615
                     26,                   1.01,                 0.6005,                 0.8392,                 1.3733,                0.73112,                  0.834,                0.87194,                 0.7798,                0.84742,                0.58562,                0.88472,                0.50927,                0.82244,                 1.1971,                0.60517,                0.81773,               0.008812,               0.008812,               0.008812
                     27,                 1.0107,                0.59987,                0.83826,                 1.3755,                0.72312,                0.83491,                0.87421,                0.77988,                0.84731,                0.59192,                0.87359,                0.50061,                0.82207,                 1.1756,                0.60437,                0.81647,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0082,                0.60265,                0.83807,                 1.3618,                 0.7281,                0.83262,                0.87453,                0.77841,                 0.8473,                0.59064,                0.87352,                 0.5047,                0.82349,                 1.1709,                0.60475,                0.81686,               0.008713,               0.008713,               0.008713
                     29,                 0.9984,                0.59613,                0.83654,                 1.3636,                0.72476,                0.83242,                0.87541,                0.77432,                 0.8483,                0.59345,                0.86324,                0.48982,                0.82195,                 1.1663,                0.59256,                0.81619,              0.0086635,              0.0086635,              0.0086635
                     30,                0.99419,                0.58991,                0.83476,                 1.3603,                0.71655,                0.83061,                0.87586,                0.78172,                0.84855,                0.60034,                0.85619,                0.49129,                0.82159,                 1.1342,                 0.5938,                0.81644,               0.008614,               0.008614,               0.008614
                     31,                0.97645,                  0.584,                0.83504,                 1.3415,                0.70529,                0.83091,                0.87662,                0.78535,                0.85177,                 0.6004,                0.83913,                 0.4856,                 0.8194,                 1.1415,                0.57948,                0.81646,              0.0085645,              0.0085645,              0.0085645
                     32,                0.98829,                0.58116,                0.83225,                 1.3447,                0.69711,                0.82884,                0.88926,                0.78677,                0.85662,                0.60425,                0.84154,                0.47561,                0.81968,                 1.1421,                 0.5736,                0.81473,               0.008515,               0.008515,               0.008515
                     33,                0.99958,                0.58474,                0.83665,                 1.3544,                0.70305,                0.83104,                 0.8832,                0.78072,                0.85486,                 0.6043,                0.84229,                0.48362,                0.81861,                  1.135,                0.58224,                0.81347,              0.0084655,              0.0084655,              0.0084655
                     34,                0.99296,                0.58441,                0.83688,                 1.3505,                0.71107,                0.83047,                0.88966,                0.79015,                0.86256,                0.60771,                0.83742,                 0.4728,                0.81908,                 1.1316,                0.55777,                0.81445,               0.008416,               0.008416,               0.008416
                     35,                 0.9804,                0.58191,                0.82947,                  1.334,                0.70381,                  0.826,                0.87396,                0.79909,                 0.8619,                0.60911,                0.84648,                0.47413,                0.81898,                 1.1312,                 0.5635,                0.81527,              0.0083665,              0.0083665,              0.0083665
                     36,                0.98111,                0.57795,                 0.8322,                 1.3367,                0.69623,                0.82793,                0.87887,                 0.7953,                0.86112,                0.60884,                0.83641,                0.47299,                0.81829,                 1.1233,                0.56826,                0.81317,               0.008317,               0.008317,               0.008317
                     37,                0.97117,                0.57131,                0.83201,                  1.337,                0.69839,                0.82866,                0.88997,                 0.7905,                 0.8647,                0.61333,                0.83155,                0.46702,                 0.8172,                   1.12,                0.55864,                0.81217,              0.0082675,              0.0082675,              0.0082675
